Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
4500000.085,320,0.212,0.788,5.98664,138.096,3.96E-09,7.07E-09
4500000.085,320,0.116,0.884,2.99888,143.26266,8.21E-09,6.78E-09
4500000.085,320,0.02,0.98,0.4733,148.17812,4.64E-09,6.90E-09
4500000.085,340,0.98,0.02,65.77484,5.43166,1.91E-08,1.79E-08
4500000.085,340,0.884,0.116,54.06712,29.3959,1.28E-08,1.17E-08
4500000.085,340,0.788,0.212,43.95148,49.88738,1.36E-08,1.66E-08
4500000.085,340,0.692,0.308,34.82052,67.90266,1.51E-08,1.15E-08
4500000.085,340,0.596,0.404,27.23744,82.23422,1.18E-08,1.18E-08
4500000.085,340,0.5,0.5,20.69902,94.70808,1.21E-08,1.09E-08
4500000.085,340,0.404,0.596,15.32612,104.93442,9.93E-09,8.18E-09
4500000.085,340,0.308,0.692,10.6996,114.0686,1.42E-08,7.69E-09
4500000.085,340,0.212,0.788,6.716,121.45694,7.49E-09,9.17E-09
4500000.085,340,0.116,0.884,3.4444,127.78106,4.85E-09,7.91E-09
4500000.085,340,0.02,0.98,0.5568,133.37172,7.11E-09,9.68E-09
4500000.085,360,0.98,0.02,57.03932,3.94024,1.85E-08,1.08E-09
4500000.085,360,0.884,0.116,48.41508,21.59118,2.15E-08,9.77E-09
4500000.085,360,0.788,0.212,40.50536,38.04896,1.62E-08,1.36E-08
4500000.085,360,0.692,0.308,33.18738,52.62572,1.31E-08,1.39E-08
4500000.085,360,0.596,0.404,26.67112,65.49592,1.51E-08,1.14E-08
4500000.085,360,0.5,0.5,20.91156,77.10266,1.53E-08,1.34E-08
4500000.085,360,0.404,0.596,15.6823,87.45198,1.81E-08,1.02E-08
4500000.085,360,0.308,0.692,11.20782,96.43136,8.93E-09,1.01E-08
4500000.085,360,0.212,0.788,7.1892,104.51304,5.58E-09,1.05E-08
4500000.085,360,0.116,0.884,3.72192,111.25894,8.56E-09,9.86E-09
4500000.085,360,0.02,0.98,0.60794,117.45074,2.96E-08,1.09E-08
4500000.085,380,0.98,0.02,49.6881,2.94758,2.08E-08,1.90E-08
